timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747329802595,4,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,4,0,0
1747329802595,5,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,5,0,0
1747329802600,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802601,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802602,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802603,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802604,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802605,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802605,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802607,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802608,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802609,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802609,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802611,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802612,6,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,6,0,0
1747329802612,6,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,6,0,0
1747329802619,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802619,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802620,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802620,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802622,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802622,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802624,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802624,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802627,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802629,8,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,8,0,0
1747329802637,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802627,12,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,12,0,0
1747329802639,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802640,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802641,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802642,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802642,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802643,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802644,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802646,4,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,4,0,0
1747329802645,5,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,5,0,0
1747329802651,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802651,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
